Id,Tag
5420,extract method                                    
5421,rename method                                     
5422,extract method                                    
5423,extract method                                    
5424,move attribute                                    
5425,extract method                                    
5426,rename method                                     
5427,move method                                       
5428,extract method                                    
5429,push down attribute                               
5430,rename method                                     
5431,move method                                       
5432,extract method                                    
5433,extract method                                    
5434,rename method                                     
5435,extract method                                    
5436,inline method                                     
5437,extract method                                    
5438,extract method                                    
5439,move method                                       
5440,extract method                                    
5441,extract method                                    
5442,move class                                        
5443,move and rename class                             
5444,extract interface                                 
5445,rename method                                     
5446,move method                                       
5447,move attribute                                    
5448,move method                                       
5449,extract method                                    
5450,move attribute                                    
5451,rename method                                     
5452,extract method                                    
5453,move attribute                                    
5454,extract method                                    
5455,extract method                                    
5456,rename method                                     
5457,move method                                       
5458,extract method                                    
5459,extract method                                    
5460,move attribute                                    
5461,rename method                                     
5462,move attribute                                    
5463,rename method                                     
5464,extract method                                    
5465,pull up attribute                                 
5466,extract method                                    
5467,rename method                                     
5468,move method                                       
5469,extract method                                    
5470,move attribute                                    
5471,extract method                                    
5472,extract method                                    
5473,push down method                                  
5474,push down attribute                               
5475,extract method                                    
5476,rename method                                     
5477,extract method                                    
5478,move attribute                                    
5479,extract method                                    
5480,extract method                                    
5481,extract method                                    
5482,extract method                                    
5483,rename method                                     
5484,push down method                                  
5485,extract method                                    
5486,push down attribute                               
5487,extract method                                    
5488,extract method                                    
5489,rename method                                     
5490,extract method                                    
5491,extract method                                    
5492,extract method                                    
5493,rename method                                     
5494,move method                                       
5495,extract method                                    
5496,move attribute                                    
5497,rename class                                      
5498,rename method                                     
5499,push down method                                  
5500,push down attribute                               
5501,extract method                                    
5502,rename method                                     
5503,move method                                       
5504,extract method                                    
5505,extract method                                    
5506,pull up method                                    
5507,extract method                                    
5508,pull up attribute                                 
5509,rename method                                     
5510,extract method                                    
5511,extract method                                    
5512,push down method                                  
5513,extract method                                    
5514,push down attribute                               
5515,rename method                                     
5516,extract method                                    
5517,inline method                                     
5518,rename method                                     
5519,move method                                       
5520,extract method                                    
5521,move attribute                                    
5522,move method                                       
5523,extract method                                    
5524,extract method                                    
5525,inline method                                     
5526,extract method                                    
5527,rename method                                     
5528,inline method                                     
5529,rename method                                     
5530,extract method                                    
5531,rename class                                      
5532,move method                                       
5533,extract method                                    
5534,inline method                                     
5535,extract method                                    
5536,extract method                                    
5537,extract method                                    
5538,extract method                                    
5539,rename method                                     
5540,rename method                                     
5541,extract method                                    
5542,extract method                                    
5543,extract method                                    
5544,extract method                                    
5545,rename class                                      
5546,rename method                                     
5547,inline method                                     
5548,move attribute                                    
5549,rename class                                      
5550,rename method                                     
5551,extract method                                    
5552,move attribute                                    
5553,rename class                                      
5554,rename method                                     
5555,extract method                                    
5556,move attribute                                    
5557,rename class                                      
5558,rename method                                     
5559,extract method                                    
5560,move attribute                                    
5561,rename class                                      
5562,rename method                                     
5563,extract method                                    
5564,move attribute                                    
5565,rename class                                      
5566,rename method                                     
5567,extract method                                    
5568,move attribute                                    
5569,rename class                                      
5570,rename method                                     
5571,extract method                                    
5572,move attribute                                    
5573,rename class                                      
5574,rename method                                     
5575,inline method                                     
5576,move attribute                                    
5577,extract method                                    
5578,rename method                                     
5579,extract method                                    
5580,rename method                                     
5581,rename method                                     
5582,rename class                                      
5583,rename method                                     
5584,inline method                                     
5585,move attribute                                    
5586,rename method                                     
5587,rename method                                     
5588,rename method                                     
5589,extract method                                    
5590,rename method                                     
5591,rename class                                      
5592,pull up method                                    
5593,inline method                                     
5594,extract method                                    
5595,rename class                                      
5596,rename class                                      
5597,rename class                                      
5598,rename class                                      
5599,move and rename class                             
5600,rename method                                     
5601,move method                                       
5602,extract method                                    
5603,inline method                                     
5604,move attribute                                    
5605,rename class                                      
5606,move and rename class                             
5607,rename method                                     
5608,move method                                       
5609,extract method                                    
5610,inline method                                     
5611,move attribute                                    
5612,rename class                                      
5613,move and rename class                             
5614,rename method                                     
5615,move method                                       
5616,extract method                                    
5617,inline method                                     
5618,move attribute                                    
5619,move method                                       
5620,extract method                                    
5621,move attribute                                    
5622,move class                                        
5623,move method                                       
5624,move attribute                                    
5625,move class                                        
5626,move method                                       
5627,move attribute                                    
5628,move class                                        
5629,move method                                       
5630,move attribute                                    
5631,rename method                                     
5632,move method                                       
5633,extract method                                    
5634,move attribute                                    
5635,rename method                                     
5636,move method                                       
5637,extract method                                    
5638,move attribute                                    
5639,extract method                                    
5640,extract method                                    
5641,extract method                                    
5642,extract method                                    
5643,extract method                                    
5644,extract method                                    
5645,rename method                                     
5646,extract method                                    
5647,rename class                                      
5648,extract method                                    
5649,rename method                                     
5650,move method                                       
5651,extract method                                    
5652,rename class                                      
5653,move method                                       
5654,extract method                                    
5655,rename method                                     
5656,pull up method                                    
5657,move method                                       
5658,extract method                                    
5659,pull up attribute                                 
5660,rename method                                     
5661,pull up method                                    
5662,move method                                       
5663,extract method                                    
5664,pull up attribute                                 
5665,rename method                                     
5666,extract method                                    
5667,extract method                                    
5668,extract method                                    
5669,extract superclass                                
5670,move method                                       
5671,rename method                                     
5672,extract method                                    
5673,extract method                                    
5674,rename method                                     
5675,rename method                                     
5676,rename method                                     
5677,rename class                                      
5678,rename method                                     
5679,move method                                       
5680,extract method                                    
5681,rename class                                      
5682,rename method                                     
5683,extract method                                    
5684,rename method                                     
5685,extract method                                    
5686,rename method                                     
5687,extract method                                    
5688,inline method                                     
5689,extract method                                    
5690,extract method                                    
5691,extract method                                    
5692,rename method                                     
5693,rename method                                     
5694,rename method                                     
5695,rename method                                     
5696,move and rename class                             
5697,rename method                                     
5698,move method                                       
5699,extract method                                    
5700,move method                                       
5701,move attribute                                    
5702,move and rename class                             
5703,move method                                       
5704,inline method                                     
5705,move attribute                                    
5706,move and rename class                             
5707,move method                                       
5708,inline method                                     
5709,move attribute                                    
5710,move method                                       
5711,extract method                                    
5712,inline method                                     
5713,move method                                       
5714,extract method                                    
5715,inline method                                     
5716,rename method                                     
5717,rename method                                     
5718,rename method                                     
5719,move method                                       
5720,rename method                                     
5721,move method                                       
5722,rename class                                      
5723,push down method                                  
5724,rename class                                      
5725,push down method                                  
5726,rename method                                     
5727,move method                                       
5728,rename method                                     
5729,move method                                       
5730,rename method                                     
5731,move method                                       
5732,extract method                                    
5733,move attribute                                    
5734,rename method                                     
5735,extract method                                    
5736,extract superclass                                
5737,rename method                                     
5738,move method                                       
5739,extract method                                    
5740,inline method                                     
5741,pull up attribute                                 
5742,move method                                       
5743,move attribute                                    
5744,pull up attribute                                 
5745,rename method                                     
5746,move method                                       
5747,rename method                                     
5748,extract method                                    
5749,inline method                                     
5750,rename method                                     
5751,move method                                       
5752,extract method                                    
5753,move attribute                                    
5754,extract method                                    
5755,rename method                                     
5756,rename method                                     
5757,inline method                                     
5758,rename method                                     
5759,extract method                                    
5760,inline method                                     
5761,rename method                                     
5762,extract method                                    
5763,pull up attribute                                 
5764,extract method                                    
5765,rename method                                     
5766,rename method                                     
5767,extract method                                    
5768,rename class                                      
5769,rename method                                     
5770,rename method                                     
