Id,Text
5420, allow sqloper overridden valid calcit allow function overridden valid step specif user provid sqloperatort valid step sqloperatort call method lookupoperatoroverload get overrid function howev far sqloper etc mechan yet sinc system apach drill would flexibl type check sqloper operand mechan necessari system pass valid step
5421, allow sqloper overridden valid calcit allow function overridden valid step specif user provid sqloperatort valid step sqloperatort call method lookupoperatoroverload get overrid function howev far sqloper etc mechan yet sinc system apach drill would flexibl type check sqloper operand mechan necessari system pass valid step
5422, add support translat expess from_str to_str calcit follow standard sql refer sql refer iso iec 9075 2011 section 30 charact transliter translat left paren charact valu express use transliter name right paren need add support translat expess from_str to_str altern syntax ex add oracl style translat function sqlstdoperatort call say translate3 sinc paramet
5423, extend simplifi reduc express would like cover case express simplif null null satisfi satisfi
5424, add support timestampadd timestampdiff function call timestampadd timestampdiff first paramet sql_tsi_ microsecond sql_tsi_ frac_second deprec leav older version compat sql_tsi_ second sql_tsi_ minut sql_tsi_ hour sql_tsi_ day sql_tsi_ week sql_tsi_ month sql_tsi_ quarter sql_tsi_ year ex timestampadd second current_datetim calcit throw error caus org apach calcit sql parser sqlparseexcept encount second line column 25 expect one
5425, add unari oper support is_nul is_not_nul reximplicationcheck current support sql comparison oper sqlkind compar check one predic impli anoth use reximplicationcheck would like extend coupl unari oper base user request calcit 1104 is_nul is_not_nul
5426, add projectremoverul pre process program materi substitut volcanoplann appli simpl pre process hep program normal target queri rel materi substitut current program run two rule filterprojecttransposerul projectmergerul need extra rule projectremoverul phoenix use case secondari index model materi view defin view materi view queryrel may ident project introduc view
5427, send back errorrespons failur pars request tri debug issu asf jenkin notic serial error result errorrespons sent back client server side stacktrac lost
5428, improv two level column structur handl calcit support nest column structur pars valid repres inner level column rexfieldaccess base rexinputref meanwhil flatten inner level structur wildcard expans would caus unsupportedoperationexcept avatica idea take account nest structur column resolv flatten structur translat relnod rexnod exampl tabl structur defin code varchar k0 varchar c1 recordtyp integ c0 integ c1 f0 recordtyp integ c0 integ c2 f1 code view flat type like code varchar k0 varchar c1 integ f0 c0 integ f0 c1 integ f1 c0 integ f1 c2 code column refer k0 translat column refer f0 c1 translat wildcard translat complex column wildcard f1 translat would like resolv column base follow rule consid suffix part qualifi name mean tabl resolv alreadi done time two part column name match first level column name second level column name exampl f1 c0 correspond f1 throw column found error singl part column name match non nest column first match match second level column name exampl c1 match instead sinc non nest column higher prioriti c2 match c0 lead ambigu column error sinc exist f0 f1 would also like way defin default first level column preced column resolv first level column exampl f0 defin default c0 caus ambigu column error instead match refer first level column without wildcard allow f1
5429, add new rule materialis view optimis join queri keep track ad new rule would enabl optimis use view join queri instanc materialis view tabl name x_part defin queri select 2016 01 01 expect follow queri optimis x_part select inner join id xid inner join id yid 2016 02 02 bangalor follow chang done quark plan pull calcit add new rule filter tablescan basic predic push join onto tabl scan new rule check optimis materialis view http github com qubol quark blob master optim src main java com qubol quark planner materializedviewfilterscanrul java add new unifi rule materialisedsubstitutionvisitor http github com qubol incub calcit commit 2d031d14d23810291377d92dc5ef2eaa515d35b7
5430, add method sqloperatorbind determin whether operand liter drill type infer decim color red liter color treat doubl case howev sqloperatorbind method tell caller operand liter jira propos ad helper method
5431, add method sqloperatorbind determin whether operand liter drill type infer decim color red liter color treat doubl case howev sqloperatorbind method tell caller operand liter jira propos ad helper method
